#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 10:24:34:5830,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:34:5930,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:34:5930,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:5930,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:6860,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:6860,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:6860,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:34:7060,sensor,512,a0,adc,NXSCK
2021-09-14 10:24:34:7060,sensor,697,a1,adc,NXSCK
2021-09-14 10:24:34:7060,sensor,461,a2,adc,NXSCK
2021-09-14 10:24:34:7660,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:34:7660,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:34:7660,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:34:8240,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:34:8240,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:8240,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:8840,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:8840,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:8840,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:34:9740,sensor,510,a0,adc,NXSCK
2021-09-14 10:24:34:9740,sensor,695,a1,adc,NXSCK
2021-09-14 10:24:34:9740,sensor,463,a2,adc,NXSCK
2021-09-14 10:24:35:0640,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:35:0640,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:0640,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:1240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:1240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:1240,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:35:1830,sensor,504,a0,adc,NXSCK
2021-09-14 10:24:35:1830,sensor,702,a1,adc,NXSCK
2021-09-14 10:24:35:1830,sensor,466,a2,adc,NXSCK
2021-09-14 10:24:35:2440,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:35:2440,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:35:2440,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:35:3040,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:35:3040,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:3040,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:3630,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:3630,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:3630,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:35:4260,sensor,508,a0,adc,NXSCK
2021-09-14 10:24:35:4260,sensor,695,a1,adc,NXSCK
2021-09-14 10:24:35:4260,sensor,459,a2,adc,NXSCK
2021-09-14 10:24:35:4840,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:35:4840,IMU,12,ay,acceleration,NXSCK
2021-09-14 10:24:35:4840,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:35:5440,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:35:5440,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:5440,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:6050,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:6050,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:6050,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:35:6660,sensor,507,a0,adc,NXSCK
2021-09-14 10:24:35:6660,sensor,693,a1,adc,NXSCK
2021-09-14 10:24:35:6660,sensor,465,a2,adc,NXSCK
2021-09-14 10:24:35:7240,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:35:7240,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:35:7240,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:35:7840,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:35:7840,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:7840,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:8440,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:8440,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:8440,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:35:9040,sensor,512,a0,adc,NXSCK
2021-09-14 10:24:35:9040,sensor,694,a1,adc,NXSCK
2021-09-14 10:24:35:9040,sensor,470,a2,adc,NXSCK
2021-09-14 10:24:35:9640,IMU,-56,ax,acceleration,NXSCK
2021-09-14 10:24:35:9640,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:35:9640,IMU,-955,az,acceleration,NXSCK
2021-09-14 10:24:36:0240,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:36:0240,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:36:0240,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:36:0830,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:36:0830,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:36:0830,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:36:1440,sensor,504,a0,adc,NXSCK
2021-09-14 10:24:36:1440,sensor,685,a1,adc,NXSCK
2021-09-14 10:24:36:1440,sensor,471,a2,adc,NXSCK
2021-09-14 10:24:36:2050,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:36:2050,IMU,12,ay,acceleration,NXSCK
2021-09-14 10:24:36:2050,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:36:2660,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:36:2660,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:36:2660,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:36:3240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:36:3240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:36:3240,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:36:4150,sensor,501,a0,adc,NXSCK
2021-09-14 10:24:36:4150,sensor,687,a1,adc,NXSCK
2021-09-14 10:24:36:4150,sensor,472,a2,adc,NXSCK
2021-09-14 10:24:36:5430,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:36:5430,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:36:5430,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:36:5440,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:36:5440,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:36:5440,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:36:6740,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:36:6740,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:36:6740,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:36:6750,sensor,495,a0,adc,NXSCK
2021-09-14 10:24:36:6750,sensor,690,a1,adc,NXSCK
2021-09-14 10:24:36:6750,sensor,468,a2,adc,NXSCK
2021-09-14 10:24:36:7150,IMU,-53,ax,acceleration,NXSCK
2021-09-14 10:24:36:7150,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:36:7150,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:36:7740,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:36:7740,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:36:7740,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:36:8330,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:36:8330,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:36:8330,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:36:8940,sensor,500,a0,adc,NXSCK
2021-09-14 10:24:36:8940,sensor,696,a1,adc,NXSCK
2021-09-14 10:24:36:8940,sensor,464,a2,adc,NXSCK
2021-09-14 10:24:36:9540,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:36:9540,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:36:9540,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:37:0150,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:37:0150,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:37:0150,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:37:0740,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:37:0740,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:37:0740,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:37:1330,sensor,506,a0,adc,NXSCK
2021-09-14 10:24:37:1330,sensor,698,a1,adc,NXSCK
2021-09-14 10:24:37:1330,sensor,479,a2,adc,NXSCK
2021-09-14 10:24:37:1960,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:37:1960,IMU,12,ay,acceleration,NXSCK
2021-09-14 10:24:37:1960,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:37:2540,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:37:2540,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:37:2540,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:37:3170,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:37:3170,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:37:3170,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:37:3740,sensor,515,a0,adc,NXSCK
2021-09-14 10:24:37:3740,sensor,702,a1,adc,NXSCK
2021-09-14 10:24:37:3740,sensor,466,a2,adc,NXSCK
2021-09-14 10:24:37:4340,IMU,-53,ax,acceleration,NXSCK
2021-09-14 10:24:37:4340,IMU,13,ay,acceleration,NXSCK
2021-09-14 10:24:37:4340,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:37:4940,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:37:4940,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:37:4940,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:37:5540,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:37:5540,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:37:5540,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:37:6450,sensor,518,a0,adc,NXSCK
2021-09-14 10:24:37:6450,sensor,706,a1,adc,NXSCK
2021-09-14 10:24:37:6450,sensor,454,a2,adc,NXSCK
2021-09-14 10:24:37:7040,IMU,-56,ax,acceleration,NXSCK
2021-09-14 10:24:37:7040,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:37:7040,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:37:7650,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:37:7650,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:37:7650,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:37:8240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:37:8240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:37:8240,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:37:8840,sensor,519,a0,adc,NXSCK
2021-09-14 10:24:37:8840,sensor,702,a1,adc,NXSCK
2021-09-14 10:24:37:8840,sensor,460,a2,adc,NXSCK
2021-09-14 10:24:37:9450,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:37:9450,IMU,12,ay,acceleration,NXSCK
2021-09-14 10:24:37:9450,IMU,-956,az,acceleration,NXSCK
