#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:23:02:8340,IMU,-753,ax,acceleration,NXSCK
2021-09-14 13:23:02:8340,IMU,83,ay,acceleration,NXSCK
2021-09-14 13:23:02:8340,IMU,-509,az,acceleration,NXSCK
2021-09-14 13:23:02:8830,IMU,166,gx,gyration,NXSCK
2021-09-14 13:23:02:8830,IMU,54,gy,gyration,NXSCK
2021-09-14 13:23:02:8830,IMU,103,gz,gyration,NXSCK
2021-09-14 13:23:02:9430,IMU,5,mx,magnet,NXSCK
2021-09-14 13:23:02:9430,IMU,91,my,magnet,NXSCK
2021-09-14 13:23:02:9430,IMU,38,mz,magnet,NXSCK
2021-09-14 13:23:03:0040,sensor,246,a0,adc,NXSCK
2021-09-14 13:23:03:0040,sensor,133,a1,adc,NXSCK
2021-09-14 13:23:03:0040,sensor,192,a2,adc,NXSCK
2021-09-14 13:23:03:0630,IMU,-847,ax,acceleration,NXSCK
2021-09-14 13:23:03:0630,IMU,-242,ay,acceleration,NXSCK
2021-09-14 13:23:03:0630,IMU,-397,az,acceleration,NXSCK
2021-09-14 13:23:03:1240,IMU,68,gx,gyration,NXSCK
2021-09-14 13:23:03:1240,IMU,-57,gy,gyration,NXSCK
2021-09-14 13:23:03:1240,IMU,108,gz,gyration,NXSCK
2021-09-14 13:23:03:1840,IMU,6,mx,magnet,NXSCK
2021-09-14 13:23:03:1840,IMU,82,my,magnet,NXSCK
2021-09-14 13:23:03:1840,IMU,38,mz,magnet,NXSCK
2021-09-14 13:23:03:2440,sensor,173,a0,adc,NXSCK
2021-09-14 13:23:03:2440,sensor,148,a1,adc,NXSCK
2021-09-14 13:23:03:2440,sensor,245,a2,adc,NXSCK
2021-09-14 13:23:03:3350,IMU,-363,ax,acceleration,NXSCK
2021-09-14 13:23:03:3350,IMU,178,ay,acceleration,NXSCK
2021-09-14 13:23:03:3350,IMU,-920,az,acceleration,NXSCK
2021-09-14 13:23:03:3940,IMU,82,gx,gyration,NXSCK
2021-09-14 13:23:03:3940,IMU,25,gy,gyration,NXSCK
2021-09-14 13:23:03:3940,IMU,17,gz,gyration,NXSCK
2021-09-14 13:23:03:4550,IMU,2,mx,magnet,NXSCK
2021-09-14 13:23:03:4550,IMU,71,my,magnet,NXSCK
2021-09-14 13:23:03:4550,IMU,47,mz,magnet,NXSCK
2021-09-14 13:23:03:5140,sensor,302,a0,adc,NXSCK
2021-09-14 13:23:03:5140,sensor,199,a1,adc,NXSCK
2021-09-14 13:23:03:5140,sensor,350,a2,adc,NXSCK
2021-09-14 13:23:03:5730,IMU,-573,ax,acceleration,NXSCK
2021-09-14 13:23:03:5730,IMU,524,ay,acceleration,NXSCK
2021-09-14 13:23:03:5730,IMU,-384,az,acceleration,NXSCK
2021-09-14 13:23:03:6640,IMU,-3,gx,gyration,NXSCK
2021-09-14 13:23:03:6640,IMU,-334,gy,gyration,NXSCK
2021-09-14 13:23:03:6640,IMU,132,gz,gyration,NXSCK
2021-09-14 13:23:03:7240,IMU,1,mx,magnet,NXSCK
2021-09-14 13:23:03:7240,IMU,75,my,magnet,NXSCK
2021-09-14 13:23:03:7240,IMU,27,mz,magnet,NXSCK
2021-09-14 13:23:03:7840,sensor,255,a0,adc,NXSCK
2021-09-14 13:23:03:7840,sensor,183,a1,adc,NXSCK
2021-09-14 13:23:03:7840,sensor,447,a2,adc,NXSCK
2021-09-14 13:23:03:8440,IMU,-1179,ax,acceleration,NXSCK
2021-09-14 13:23:03:8440,IMU,115,ay,acceleration,NXSCK
2021-09-14 13:23:03:8440,IMU,65,az,acceleration,NXSCK
2021-09-14 13:23:03:9040,IMU,-361,gx,gyration,NXSCK
2021-09-14 13:23:03:9040,IMU,-127,gy,gyration,NXSCK
2021-09-14 13:23:03:9040,IMU,-18,gz,gyration,NXSCK
