#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 12:58:58:2480,IMU,-20,ax,acceleration,NXSAMPLEX
2021-09-14 12:58:58:2480,IMU,-37,ay,acceleration,NXSAMPLEX
2021-09-14 12:58:58:2480,IMU,983,az,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3110,IMU,-20,ax,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3110,IMU,-36,ay,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3110,IMU,984,az,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3690,IMU,-23,ax,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3690,IMU,-39,ay,acceleration,NXSAMPLEX
2021-09-14 12:58:58:3690,IMU,981,az,acceleration,NXSAMPLEX
2021-09-14 12:58:58:4280,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 12:58:58:4280,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 12:58:58:4280,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 12:58:58:4880,IMU,-25,ax,acceleration,NXSAMPLEX
2021-09-14 12:58:58:4880,IMU,-38,ay,acceleration,NXSAMPLEX
2021-09-14 12:58:58:4880,IMU,978,az,acceleration,NXSAMPLEX
2021-09-14 12:58:58:5480,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 12:58:58:5480,IMU,-12,gy,gyration,NXSAMPLEX
2021-09-14 12:58:58:5480,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 12:58:58:6080,IMU,86,mx,magnet,NXSAMPLEX
2021-09-14 12:58:58:6080,IMU,-6211,my,magnet,NXSAMPLEX
2021-09-14 12:58:58:6080,IMU,-6727,mz,magnet,NXSAMPLEX
2021-09-14 12:58:58:6690,sensor,919,a0,adc,NXSAMPLEX
2021-09-14 12:58:58:6690,sensor,9,a1,adc,NXSAMPLEX
2021-09-14 12:58:58:6690,sensor,52,a2,adc,NXSAMPLEX
2021-09-14 12:58:58:7270,IMU,-21,ax,acceleration,NXSAMPLEX
2021-09-14 12:58:58:7270,IMU,-39,ay,acceleration,NXSAMPLEX
2021-09-14 12:58:58:7270,IMU,979,az,acceleration,NXSAMPLEX
2021-09-14 12:58:58:7640,IMU,-76,ax,acceleration,NXSID007
2021-09-14 12:58:58:7640,IMU,-5,ay,acceleration,NXSID007
2021-09-14 12:58:58:7640,IMU,984,az,acceleration,NXSID007
2021-09-14 12:58:58:7880,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 12:58:58:7880,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 12:58:58:7880,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 12:58:58:8260,IMU,4,gx,gyration,NXSID007
2021-09-14 12:58:58:8260,IMU,-7,gy,gyration,NXSID007
2021-09-14 12:58:58:8260,IMU,-12,gz,gyration,NXSID007
2021-09-14 12:58:58:8470,IMU,55,mx,magnet,NXSAMPLEX
2021-09-14 12:58:58:8470,IMU,-6180,my,magnet,NXSAMPLEX
2021-09-14 12:58:58:8470,IMU,-6711,mz,magnet,NXSAMPLEX
2021-09-14 12:58:58:8860,IMU,-1480,mx,magnet,NXSID007
2021-09-14 12:58:58:8860,IMU,-594,my,magnet,NXSID007
2021-09-14 12:58:58:8860,IMU,-4546,mz,magnet,NXSID007
2021-09-14 12:58:58:9100,sensor,918,a0,adc,NXSAMPLEX
