time,measurement,value,field,type,device
2021-09-14 15:45:13:6940,IMU,104,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:13:6940,IMU,-897,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:13:6940,IMU,363,az,acceleration,NXSAMPLEX
2021-09-14 15:45:13:7040,IMU,-134,ax,acceleration,NXSCK
2021-09-14 15:45:13:7040,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:45:13:7040,IMU,893,az,acceleration,NXSCK
2021-09-14 15:45:13:7550,IMU,106,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:13:7550,IMU,-909,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:13:7550,IMU,363,az,acceleration,NXSAMPLEX
2021-09-14 15:45:13:7610,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:45:13:7610,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:45:13:7610,IMU,893,az,acceleration,NXSCK
2021-09-14 15:45:13:8440,IMU,104,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:13:8440,IMU,-902,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:13:8440,IMU,361,az,acceleration,NXSAMPLEX
2021-09-14 15:45:13:8800,IMU,6,gx,gyration,NXSCK
2021-09-14 15:45:13:8800,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:45:13:8800,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:45:13:9060,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 15:45:13:9060,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 15:45:13:9060,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 15:45:13:9640,IMU,104,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:13:9640,IMU,-905,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:13:9640,IMU,365,az,acceleration,NXSAMPLEX
2021-09-14 15:45:14:0520,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 15:45:14:0520,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 15:45:14:0520,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 15:45:14:0590,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:45:14:0590,IMU,70,my,magnet,NXSCK
2021-09-14 15:45:14:0590,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:45:14:1140,IMU,-2214,mx,magnet,NXSAMPLEX
2021-09-14 15:45:14:1140,IMU,837,my,magnet,NXSAMPLEX
2021-09-14 15:45:14:1140,IMU,-4907,mz,magnet,NXSAMPLEX
2021-09-14 15:45:14:1200,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:45:14:1200,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:45:14:1200,IMU,891,az,acceleration,NXSCK
2021-09-14 15:45:14:1740,sensor,421,a0,adc,NXSAMPLEX
2021-09-14 15:45:14:1740,sensor,8,a1,adc,NXSAMPLEX
2021-09-14 15:45:14:1740,sensor,87,a2,adc,NXSAMPLEX
2021-09-14 15:45:14:2320,IMU,105,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:14:2320,IMU,-910,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:14:2320,IMU,366,az,acceleration,NXSAMPLEX
2021-09-14 15:45:14:2400,IMU,5,gx,gyration,NXSCK
2021-09-14 15:45:14:2400,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:45:14:2400,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:45:14:3030,sensor,888,a0,adc,NXSCK
2021-09-14 15:45:14:3030,sensor,117,a1,adc,NXSCK
2021-09-14 15:45:14:3030,sensor,192,a2,adc,NXSCK
2021-09-14 15:45:14:3340,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 15:45:14:3340,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 15:45:14:3340,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 15:45:14:3590,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:45:14:3590,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:45:14:3590,IMU,893,az,acceleration,NXSCK
2021-09-14 15:45:14:3820,IMU,-2199,mx,magnet,NXSAMPLEX
2021-09-14 15:45:14:3820,IMU,817,my,magnet,NXSAMPLEX
2021-09-14 15:45:14:3820,IMU,-4896,mz,magnet,NXSAMPLEX
2021-09-14 15:45:14:4440,sensor,424,a0,adc,NXSAMPLEX
2021-09-14 15:45:14:4440,sensor,8,a1,adc,NXSAMPLEX
2021-09-14 15:45:14:4440,sensor,118,a2,adc,NXSAMPLEX
2021-09-14 15:45:14:5020,IMU,104,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:14:5020,IMU,-904,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:14:5020,IMU,362,az,acceleration,NXSAMPLEX
2021-09-14 15:45:14:5630,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 15:45:14:5630,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 15:45:14:5630,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 15:45:14:5730,IMU,6,gx,gyration,NXSCK
2021-09-14 15:45:14:5730,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:45:14:5730,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:45:14:6230,IMU,-2208,mx,magnet,NXSAMPLEX
2021-09-14 15:45:14:6230,IMU,837,my,magnet,NXSAMPLEX
2021-09-14 15:45:14:6230,IMU,-4919,mz,magnet,NXSAMPLEX
2021-09-14 15:45:14:6300,IMU,-128,ax,acceleration,NXSCK
2021-09-14 15:45:14:6300,IMU,-432,ay,acceleration,NXSCK
2021-09-14 15:45:14:6300,IMU,894,az,acceleration,NXSCK
2021-09-14 15:45:14:6840,sensor,428,a0,adc,NXSAMPLEX
2021-09-14 15:45:14:6840,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 15:45:14:6840,sensor,55,a2,adc,NXSAMPLEX
2021-09-14 15:45:14:7420,IMU,105,ax,acceleration,NXSAMPLEX
2021-09-14 15:45:14:7420,IMU,-907,ay,acceleration,NXSAMPLEX
2021-09-14 15:45:14:7420,IMU,365,az,acceleration,NXSAMPLEX
2021-09-14 15:45:14:8030,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 15:45:14:8030,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 15:45:14:8030,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 15:45:14:8100,IMU,6,gx,gyration,NXSCK
2021-09-14 15:45:14:8100,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:45:14:8100,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:45:14:8930,IMU,-2220,mx,magnet,NXSAMPLEX
2021-09-14 15:45:14:8930,IMU,805,my,magnet,NXSAMPLEX
2021-09-14 15:45:14:8930,IMU,-4904,mz,magnet,NXSAMPLEX
2021-09-14 15:45:14:9300,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:45:14:9300,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:45:14:9300,IMU,895,az,acceleration,NXSCK
2021-09-14 15:45:14:9540,sensor,424,a0,adc,NXSAMPLEX
