#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 14:52:01:9340,IMU,-111,ax,acceleration,NXSAMPLEX
2021-09-14 14:52:01:9340,IMU,-330,ay,acceleration,NXSAMPLEX
2021-09-14 14:52:01:9340,IMU,917,az,acceleration,NXSAMPLEX
2021-09-14 14:52:01:9970,IMU,-111,ax,acceleration,NXSAMPLEX
2021-09-14 14:52:01:9970,IMU,-330,ay,acceleration,NXSAMPLEX
2021-09-14 14:52:01:9970,IMU,917,az,acceleration,NXSAMPLEX
2021-09-14 14:52:02:0540,IMU,10,gx,gyration,NXSAMPLEX
2021-09-14 14:52:02:0540,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:52:02:0540,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:52:02:1140,IMU,-753,mx,magnet,NXSAMPLEX
2021-09-14 14:52:02:1140,IMU,-777,my,magnet,NXSAMPLEX
2021-09-14 14:52:02:1140,IMU,-7690,mz,magnet,NXSAMPLEX
2021-09-14 14:52:02:1800,sensor,651,a0,adc,NXSAMPLEX
2021-09-14 14:52:02:1800,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 14:52:02:1800,sensor,91,a2,adc,NXSAMPLEX
2021-09-14 14:52:02:2170,IMU,-102,ax,acceleration,NXSID007
2021-09-14 14:52:02:2170,IMU,78,ay,acceleration,NXSID007
2021-09-14 14:52:02:2170,IMU,983,az,acceleration,NXSID007
2021-09-14 14:52:02:2340,IMU,-110,ax,acceleration,NXSAMPLEX
2021-09-14 14:52:02:2340,IMU,-330,ay,acceleration,NXSAMPLEX
2021-09-14 14:52:02:2340,IMU,916,az,acceleration,NXSAMPLEX
2021-09-14 14:52:02:2560,IMU,4,gx,gyration,NXSID007
2021-09-14 14:52:02:2560,IMU,-7,gy,gyration,NXSID007
2021-09-14 14:52:02:2560,IMU,-12,gz,gyration,NXSID007
2021-09-14 14:52:02:2940,IMU,10,gx,gyration,NXSAMPLEX
2021-09-14 14:52:02:2940,IMU,-12,gy,gyration,NXSAMPLEX
