#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 11:51:44:1430,IMU,-252,ax,acceleration,NXSAMPLEX
2021-09-14 11:51:44:1430,IMU,-67,ay,acceleration,NXSAMPLEX
2021-09-14 11:51:44:1430,IMU,936,az,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2020,IMU,-252,ax,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2020,IMU,-67,ay,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2020,IMU,936,az,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2650,IMU,-255,ax,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2650,IMU,-66,ay,acceleration,NXSAMPLEX
2021-09-14 11:51:44:2650,IMU,937,az,acceleration,NXSAMPLEX
2021-09-14 11:51:44:3170,IMU,-100,ax,acceleration,NXSID007
2021-09-14 11:51:44:3170,IMU,9,ay,acceleration,NXSID007
2021-09-14 11:51:44:3170,IMU,983,az,acceleration,NXSID007
2021-09-14 11:51:44:3220,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 11:51:44:3220,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 11:51:44:3220,IMU,-12,gz,gyration,NXSAMPLEX
2021-09-14 11:51:44:3740,IMU,4,gx,gyration,NXSID007
2021-09-14 11:51:44:3740,IMU,-7,gy,gyration,NXSID007
2021-09-14 11:51:44:3740,IMU,-12,gz,gyration,NXSID007
2021-09-14 11:51:44:3840,IMU,-256,ax,acceleration,NXSAMPLEX
2021-09-14 11:51:44:3840,IMU,-68,ay,acceleration,NXSAMPLEX
2021-09-14 11:51:44:3840,IMU,941,az,acceleration,NXSAMPLEX
2021-09-14 11:51:44:4340,IMU,541,mx,magnet,NXSID007
2021-09-14 11:51:44:4340,IMU,-387,my,magnet,NXSID007
2021-09-14 11:51:44:4340,IMU,-4846,mz,magnet,NXSID007
2021-09-14 11:51:44:4420,IMU,10,gx,gyration,NXSAMPLEX
2021-09-14 11:51:44:4420,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 11:51:44:4420,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 11:51:44:4950,sensor,673,a0,adc,NXSID007
2021-09-14 11:51:44:4950,sensor,721,a1,adc,NXSID007
2021-09-14 11:51:44:4950,sensor,563,a2,adc,NXSID007
2021-09-14 11:51:44:5300,IMU,-626,mx,magnet,NXSAMPLEX
2021-09-14 11:51:44:5300,IMU,-2581,my,magnet,NXSAMPLEX
