#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:04:9840,sensor,320,a1,adc,NXSCK
2021-09-14 13:22:04:9840,sensor,423,a2,adc,NXSCK
2021-09-14 13:22:05:0440,IMU,-794,ax,acceleration,NXSCK
2021-09-14 13:22:05:0440,IMU,-114,ay,acceleration,NXSCK
2021-09-14 13:22:05:0440,IMU,-61,az,acceleration,NXSCK
2021-09-14 13:22:05:1030,IMU,54,gx,gyration,NXSCK
2021-09-14 13:22:05:1030,IMU,-64,gy,gyration,NXSCK
2021-09-14 13:22:05:1030,IMU,-116,gz,gyration,NXSCK
2021-09-14 13:22:05:1640,IMU,5,mx,magnet,NXSCK
2021-09-14 13:22:05:1640,IMU,109,my,magnet,NXSCK
2021-09-14 13:22:05:1640,IMU,15,mz,magnet,NXSCK
2021-09-14 13:22:05:2230,sensor,91,a0,adc,NXSCK
2021-09-14 13:22:05:2230,sensor,327,a1,adc,NXSCK
2021-09-14 13:22:05:2230,sensor,433,a2,adc,NXSCK
2021-09-14 13:22:05:2830,IMU,-840,ax,acceleration,NXSCK
2021-09-14 13:22:05:2830,IMU,-224,ay,acceleration,NXSCK
2021-09-14 13:22:05:2830,IMU,80,az,acceleration,NXSCK
2021-09-14 13:22:05:3430,IMU,104,gx,gyration,NXSCK
2021-09-14 13:22:05:3430,IMU,28,gy,gyration,NXSCK
2021-09-14 13:22:05:3430,IMU,-34,gz,gyration,NXSCK
2021-09-14 13:22:05:4040,IMU,3,mx,magnet,NXSCK
2021-09-14 13:22:05:4040,IMU,107,my,magnet,NXSCK
2021-09-14 13:22:05:4040,IMU,14,mz,magnet,NXSCK
2021-09-14 13:22:05:4640,sensor,151,a0,adc,NXSCK
2021-09-14 13:22:05:4640,sensor,114,a1,adc,NXSCK
2021-09-14 13:22:05:4640,sensor,306,a2,adc,NXSCK
2021-09-14 13:22:05:5250,IMU,-746,ax,acceleration,NXSCK
2021-09-14 13:22:05:5250,IMU,-93,ay,acceleration,NXSCK
2021-09-14 13:22:05:5250,IMU,-60,az,acceleration,NXSCK
2021-09-14 13:22:05:5830,IMU,0,gx,gyration,NXSCK
2021-09-14 13:22:05:5830,IMU,220,gy,gyration,NXSCK
2021-09-14 13:22:05:5830,IMU,47,gz,gyration,NXSCK
2021-09-14 13:22:05:6460,IMU,11,mx,magnet,NXSCK
