time,measurement,value,field,type,device
2021-09-14 15:37:07:2260,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:07:3760,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:07:3760,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:07:3760,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:07:6170,IMU,-128,ax,acceleration,NXSCK
2021-09-14 15:37:07:6170,IMU,-426,ay,acceleration,NXSCK
2021-09-14 15:37:07:6170,IMU,869,az,acceleration,NXSCK
2021-09-14 15:37:07:7070,sensor,903,a0,adc,NXSCK
2021-09-14 15:37:07:7070,sensor,118,a1,adc,NXSCK
2021-09-14 15:37:07:7070,sensor,187,a2,adc,NXSCK
2021-09-14 15:37:07:8260,IMU,-128,ax,acceleration,NXSCK
2021-09-14 15:37:07:8260,IMU,-438,ay,acceleration,NXSCK
2021-09-14 15:37:07:8260,IMU,892,az,acceleration,NXSCK
2021-09-14 15:37:07:9470,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:07:9470,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:07:9470,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:08:1570,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:37:08:1570,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:08:1570,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:08:4570,sensor,936,a0,adc,NXSCK
2021-09-14 15:37:08:4570,sensor,111,a1,adc,NXSCK
2021-09-14 15:37:08:4570,sensor,192,a2,adc,NXSCK
2021-09-14 15:37:08:7260,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:08:7260,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:08:7260,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:08:8760,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:08:8760,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:37:08:8760,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:09:0860,sensor,942,a0,adc,NXSCK
2021-09-14 15:37:09:0860,sensor,118,a1,adc,NXSCK
