time,measurement,value,field,type,device
2021-09-14 15:44:34:3130,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:44:34:3130,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:44:34:3130,IMU,889,az,acceleration,NXSCK
2021-09-14 15:44:34:3710,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:44:34:3710,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:44:34:3710,IMU,889,az,acceleration,NXSCK
2021-09-14 15:44:34:5800,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:34:5800,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:44:34:5800,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:34:6700,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:34:6700,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:44:34:6700,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:35:0000,sensor,940,a0,adc,NXSCK
2021-09-14 15:44:35:0000,sensor,128,a1,adc,NXSCK
2021-09-14 15:44:35:0000,sensor,192,a2,adc,NXSCK
2021-09-14 15:44:35:0900,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:44:35:0900,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:35:0900,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:35:6910,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:35:6910,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:35:6910,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:35:7810,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:35:7810,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:35:7810,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:35:8710,sensor,949,a0,adc,NXSCK
2021-09-14 15:44:35:8710,sensor,132,a1,adc,NXSCK
2021-09-14 15:44:35:8710,sensor,192,a2,adc,NXSCK
2021-09-14 15:44:36:2010,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:36:2010,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:36:2010,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:44:36:2910,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:36:2910,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:36:2910,IMU,891,az,acceleration,NXSCK
2021-09-14 15:44:36:5910,IMU,5,gx,gyration,NXSCK
2021-09-14 15:44:36:5910,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:36:5910,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:36:6510,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:36:6510,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:36:6510,IMU,894,az,acceleration,NXSCK
2021-09-14 15:44:36:9220,sensor,945,a0,adc,NXSCK
2021-09-14 15:44:36:9220,sensor,126,a1,adc,NXSCK
2021-09-14 15:44:36:9220,sensor,191,a2,adc,NXSCK
2021-09-14 15:44:36:9800,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:36:9800,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:36:9800,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:37:0440,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:37:0440,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:37:0440,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:37:1000,sensor,950,a0,adc,NXSCK
2021-09-14 15:44:37:1000,sensor,125,a1,adc,NXSCK
2021-09-14 15:44:37:1000,sensor,196,a2,adc,NXSCK
2021-09-14 15:44:37:3120,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:44:37:3120,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:44:37:3120,IMU,894,az,acceleration,NXSCK
2021-09-14 15:44:37:3710,sensor,943,a0,adc,NXSCK
2021-09-14 15:44:37:3710,sensor,123,a1,adc,NXSCK
2021-09-14 15:44:37:3710,sensor,196,a2,adc,NXSCK
2021-09-14 15:44:37:4300,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:44:37:4300,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:37:4300,IMU,895,az,acceleration,NXSCK
2021-09-14 15:44:37:7310,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:37:7310,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:37:7310,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:37:9710,IMU,-71,mx,magnet,NXSCK
2021-09-14 15:44:37:9710,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:37:9710,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:44:38:0310,sensor,944,a0,adc,NXSCK
2021-09-14 15:44:38:0310,sensor,125,a1,adc,NXSCK
2021-09-14 15:44:38:0310,sensor,193,a2,adc,NXSCK
2021-09-14 15:44:38:0900,IMU,-131,ax,acceleration,NXSCK
2021-09-14 15:44:38:0900,IMU,-433,ay,acceleration,NXSCK
2021-09-14 15:44:38:0900,IMU,892,az,acceleration,NXSCK
2021-09-14 15:44:38:1510,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:38:1510,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:38:1510,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:38:2110,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:38:2110,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:38:2110,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:44:38:3910,sensor,942,a0,adc,NXSCK
2021-09-14 15:44:38:3910,sensor,132,a1,adc,NXSCK
2021-09-14 15:44:38:3910,sensor,192,a2,adc,NXSCK
2021-09-14 15:44:38:5700,IMU,-71,mx,magnet,NXSCK
2021-09-14 15:44:38:5700,IMU,71,my,magnet,NXSCK
2021-09-14 15:44:38:5700,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:44:38:7510,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:38:7510,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:38:7510,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:39:1420,sensor,945,a0,adc,NXSCK
2021-09-14 15:44:39:1420,sensor,127,a1,adc,NXSCK
2021-09-14 15:44:39:1420,sensor,195,a2,adc,NXSCK
2021-09-14 15:44:39:2620,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:39:2620,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:39:2620,IMU,893,az,acceleration,NXSCK
2021-09-14 15:44:39:4710,IMU,5,gx,gyration,NXSCK
2021-09-14 15:44:39:4710,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:39:4710,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:39:6210,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:44:39:6210,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:44:39:6210,IMU,894,az,acceleration,NXSCK
2021-09-14 15:44:39:9810,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:39:9810,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:39:9810,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:40:1020,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:40:1020,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:40:1020,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:40:2520,IMU,-132,ax,acceleration,NXSCK
2021-09-14 15:44:40:2520,IMU,-432,ay,acceleration,NXSCK
2021-09-14 15:44:40:2520,IMU,895,az,acceleration,NXSCK
2021-09-14 15:44:40:4010,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:40:4010,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:40:4010,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:40:5510,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:40:5510,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:44:40:5510,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:40:6110,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:40:6110,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:40:6110,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:40:6720,sensor,942,a0,adc,NXSCK
2021-09-14 15:44:40:6720,sensor,127,a1,adc,NXSCK
2021-09-14 15:44:40:6720,sensor,187,a2,adc,NXSCK
2021-09-14 15:44:40:7610,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:40:7610,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:40:7610,IMU,893,az,acceleration,NXSCK
2021-09-14 15:44:40:9710,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:40:9710,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:40:9710,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:41:0300,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:41:0300,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:44:41:0300,IMU,892,az,acceleration,NXSCK
2021-09-14 15:44:41:0900,IMU,5,gx,gyration,NXSCK
2021-09-14 15:44:41:0900,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:41:0900,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:41:2410,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:41:2410,IMU,71,my,magnet,NXSCK
2021-09-14 15:44:41:2410,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:44:41:3610,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:44:41:3610,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:44:41:3610,IMU,894,az,acceleration,NXSCK
2021-09-14 15:44:41:4510,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:41:4510,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:41:4510,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:41:6620,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:41:6620,IMU,71,my,magnet,NXSCK
2021-09-14 15:44:41:6620,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:41:7510,IMU,6,gx,gyration,NXSCK
2021-09-14 15:44:41:7510,IMU,-15,gy,gyration,NXSCK
2021-09-14 15:44:41:7510,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:44:41:8110,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:44:41:8110,IMU,70,my,magnet,NXSCK
2021-09-14 15:44:41:8110,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:44:42:1730,sensor,948,a0,adc,NXSCK
2021-09-14 15:44:42:1730,sensor,123,a1,adc,NXSCK
