#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 14:49:09:8490,environment,27.42,temp,device,NXSID007
2021-09-14 14:49:09:8490,environment,42.94,hum,device,NXSID007
2021-09-14 14:49:09:8490,environment,-40.30,alt,device,NXSID007
2021-09-14 14:49:09:9180,IMU,-1022,mx,magnet,NXSAMPLEX
2021-09-14 14:49:09:9180,IMU,-1352,my,magnet,NXSAMPLEX
2021-09-14 14:49:09:9180,IMU,-8779,mz,magnet,NXSAMPLEX
2021-09-14 14:49:09:9760,sensor,944,a0,adc,NXSAMPLEX
2021-09-14 14:49:09:9760,sensor,11,a1,adc,NXSAMPLEX
2021-09-14 14:49:09:9760,sensor,67,a2,adc,NXSAMPLEX
2021-09-14 14:49:10:0340,IMU,-143,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:10:0340,IMU,-286,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:10:0340,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:10:0940,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:10:0940,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:10:0940,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:10:1860,IMU,-994,mx,magnet,NXSAMPLEX
2021-09-14 14:49:10:1860,IMU,-1337,my,magnet,NXSAMPLEX
2021-09-14 14:49:10:1860,IMU,-8742,mz,magnet,NXSAMPLEX
2021-09-14 14:49:10:2460,sensor,908,a0,adc,NXSAMPLEX
2021-09-14 14:49:10:2460,sensor,3,a1,adc,NXSAMPLEX
2021-09-14 14:49:10:2460,sensor,67,a2,adc,NXSAMPLEX
2021-09-14 14:49:10:3050,IMU,-141,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:10:3050,IMU,-284,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:10:3050,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:10:3660,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:10:3660,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:10:3660,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:10:4260,IMU,-1014,mx,magnet,NXSAMPLEX
2021-09-14 14:49:10:4260,IMU,-1322,my,magnet,NXSAMPLEX
2021-09-14 14:49:10:4260,IMU,-8807,mz,magnet,NXSAMPLEX
2021-09-14 14:49:10:4860,sensor,1536,a0,adc,NXSAMPLEX
2021-09-14 14:49:10:4860,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 14:49:10:4860,sensor,80,a2,adc,NXSAMPLEX
2021-09-14 14:49:10:5440,IMU,-144,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:10:5440,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:10:5440,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:10:6060,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 14:49:10:6060,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:10:6060,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:10:6660,IMU,-1009,mx,magnet,NXSAMPLEX
2021-09-14 14:49:10:6660,IMU,-1322,my,magnet,NXSAMPLEX
2021-09-14 14:49:10:6660,IMU,-8824,mz,magnet,NXSAMPLEX
2021-09-14 14:49:10:7260,sensor,1463,a0,adc,NXSAMPLEX
2021-09-14 14:49:10:7260,sensor,7,a1,adc,NXSAMPLEX
2021-09-14 14:49:10:7260,sensor,71,a2,adc,NXSAMPLEX
2021-09-14 14:49:10:7850,IMU,-140,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:10:7850,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:10:7850,IMU,926,az,acceleration,NXSAMPLEX
2021-09-14 14:49:10:8450,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:10:8450,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:10:8450,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:10:9070,IMU,-1000,mx,magnet,NXSAMPLEX
2021-09-14 14:49:10:9070,IMU,-1326,my,magnet,NXSAMPLEX
2021-09-14 14:49:10:9070,IMU,-8804,mz,magnet,NXSAMPLEX
2021-09-14 14:49:10:9660,sensor,1554,a0,adc,NXSAMPLEX
2021-09-14 14:49:10:9660,sensor,3,a1,adc,NXSAMPLEX
2021-09-14 14:49:10:9660,sensor,69,a2,adc,NXSAMPLEX
2021-09-14 14:49:11:0240,IMU,-143,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:11:0240,IMU,-288,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:11:0240,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:11:0840,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:11:0840,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:11:0840,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:11:1460,IMU,-998,mx,magnet,NXSAMPLEX
2021-09-14 14:49:11:1460,IMU,-1347,my,magnet,NXSAMPLEX
2021-09-14 14:49:11:1460,IMU,-8738,mz,magnet,NXSAMPLEX
2021-09-14 14:49:11:2060,sensor,1378,a0,adc,NXSAMPLEX
2021-09-14 14:49:11:2060,sensor,5,a1,adc,NXSAMPLEX
2021-09-14 14:49:11:2060,sensor,80,a2,adc,NXSAMPLEX
2021-09-14 14:49:11:2960,IMU,-144,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:11:2960,IMU,-288,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:11:2960,IMU,923,az,acceleration,NXSAMPLEX
2021-09-14 14:49:11:3550,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:11:3550,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:11:3550,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:11:4160,IMU,-993,mx,magnet,NXSAMPLEX
2021-09-14 14:49:11:4160,IMU,-1318,my,magnet,NXSAMPLEX
2021-09-14 14:49:11:4160,IMU,-8753,mz,magnet,NXSAMPLEX
2021-09-14 14:49:11:4760,sensor,1419,a0,adc,NXSAMPLEX
2021-09-14 14:49:11:4760,sensor,11,a1,adc,NXSAMPLEX
2021-09-14 14:49:11:4760,sensor,76,a2,adc,NXSAMPLEX
2021-09-14 14:49:11:5350,IMU,-141,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:11:5350,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:11:5350,IMU,926,az,acceleration,NXSAMPLEX
2021-09-14 14:49:11:5950,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:11:5950,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:11:5950,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:11:6560,IMU,-1009,mx,magnet,NXSAMPLEX
2021-09-14 14:49:11:6560,IMU,-1328,my,magnet,NXSAMPLEX
2021-09-14 14:49:11:6560,IMU,-8787,mz,magnet,NXSAMPLEX
2021-09-14 14:49:11:7160,sensor,1820,a0,adc,NXSAMPLEX
2021-09-14 14:49:11:7160,sensor,8,a1,adc,NXSAMPLEX
2021-09-14 14:49:11:7160,sensor,68,a2,adc,NXSAMPLEX
2021-09-14 14:49:11:7740,IMU,-143,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:11:7740,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:11:7740,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:11:8350,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:11:8350,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:11:8350,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:11:8960,IMU,-963,mx,magnet,NXSAMPLEX
2021-09-14 14:49:11:8960,IMU,-1336,my,magnet,NXSAMPLEX
2021-09-14 14:49:11:8960,IMU,-8785,mz,magnet,NXSAMPLEX
2021-09-14 14:49:11:9560,sensor,1242,a0,adc,NXSAMPLEX
2021-09-14 14:49:11:9560,sensor,6,a1,adc,NXSAMPLEX
2021-09-14 14:49:11:9560,sensor,78,a2,adc,NXSAMPLEX
2021-09-14 14:49:12:0140,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:12:0140,IMU,-288,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:12:0140,IMU,926,az,acceleration,NXSAMPLEX
2021-09-14 14:49:12:0750,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:12:0750,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:12:0750,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:12:1360,IMU,-983,mx,magnet,NXSAMPLEX
2021-09-14 14:49:12:1360,IMU,-1336,my,magnet,NXSAMPLEX
2021-09-14 14:49:12:1360,IMU,-8787,mz,magnet,NXSAMPLEX
2021-09-14 14:49:12:1960,sensor,1731,a0,adc,NXSAMPLEX
2021-09-14 14:49:12:1960,sensor,10,a1,adc,NXSAMPLEX
2021-09-14 14:49:12:1960,sensor,66,a2,adc,NXSAMPLEX
2021-09-14 14:49:12:2550,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:12:2550,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:12:2550,IMU,924,az,acceleration,NXSAMPLEX
2021-09-14 14:49:12:3150,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:12:3150,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:12:3150,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:12:4070,IMU,-986,mx,magnet,NXSAMPLEX
2021-09-14 14:49:12:4070,IMU,-1303,my,magnet,NXSAMPLEX
2021-09-14 14:49:12:4070,IMU,-8720,mz,magnet,NXSAMPLEX
2021-09-14 14:49:12:4660,sensor,1382,a0,adc,NXSAMPLEX
2021-09-14 14:49:12:4660,sensor,3,a1,adc,NXSAMPLEX
2021-09-14 14:49:12:4660,sensor,77,a2,adc,NXSAMPLEX
2021-09-14 14:49:12:5250,IMU,-145,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:12:5250,IMU,-287,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:12:5250,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:12:5850,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:12:5850,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:12:5850,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:12:6460,IMU,-967,mx,magnet,NXSAMPLEX
2021-09-14 14:49:12:6460,IMU,-1333,my,magnet,NXSAMPLEX
2021-09-14 14:49:12:6460,IMU,-8806,mz,magnet,NXSAMPLEX
2021-09-14 14:49:12:7080,sensor,1548,a0,adc,NXSAMPLEX
2021-09-14 14:49:12:7080,sensor,9,a1,adc,NXSAMPLEX
2021-09-14 14:49:12:7080,sensor,78,a2,adc,NXSAMPLEX
2021-09-14 14:49:12:7640,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:12:7640,IMU,-287,ay,acceleration,NXSAMPLEX
